Type;Building;Floor;Room;Details;Dataprojectie;SmartBoard;Lesopname
Class room;B;0;31;80;1;0;0
Class room;D;0;2;172;1;0;0
Class room;D;0;3;200;1;0;0
Class room;D;0;5;127;1;0;1
Class room;D;0;7;140;1;0;0
Class room;D;0;8;128;1;0;0
Class room;D;1;5;22;1;0;0
Class room;D;1;6;38;1;0;0
Class room;D;1;7;28;1;0;0
Class room;D;1;8;38;1;0;0
Class room;D;2;6;40;1;0;0
Class room;D;2;9;48;1;0;0
Class room;D;2;10;48;1;0;0
Class room;D;2;12;40;1;1;0
Class room;D;2;13;40;1;1;0
Class room;D;2;14;38;1;1;0
Class room;D;2;15;40;1;1;0
Class room;D;2;16;40;1;0;0
Class room;D;2;18;40;1;0;0
Class room;D;2;19;40;1;0;0
Class room;D;2;20;48;1;0;0
Class room;D;2;23;48;1;0;0
Class room;D;2;24;10;1;0;0
Class room;D;3;4;48;1;0;0
Class room;D;3;5;48;1;0;0
Class room;D;3;6;48;1;0;0
Class room;D;3;7;40;1;0;0
Class room;D;3;8;40;1;0;0
Class room;D;3;9;40;1;0;0
Class room;D;3;10;40;1;0;0
Class room;D;3;11;40;1;0;0
Class room;D;3;12;38;1;0;0
Class room;D;3;13;38;1;0;0
Class room;D;3;14;38;1;0;0
Class room;D;3;15;48;1;0;0
Class room;D;3;16;48;1;0;0
Class room;D;3;17;10;1;0;0
Class room;E;0;2;15;1;0;0
Class room;E;0;3;20;1;0;0
Class room;E;0;4;100;1;0;0
Class room;E;0;5;64;1;0;0
Class room;E;0;6;62;1;0;0
Class room;E;0;7;64;1;0;0
Class room;E;0;10;32;1;0;0
Class room;E;0;11;70;1;0;0
Class room;E;0;12;91;1;0;0
Class room;E;2;1;20;1;0;0
Class room;E;2;4;40;1;0;0
Class room;E;2;13;38;1;0;0
Class room;E;2;2;38;1;0;0
Class room;E;2;5;3;0;0;0
Class room;E;2;7;3;0;0;0
Class room;E;2;5;6;0;0;0
Class room;E;2;8;8;0;0;0
Class room;E;3;2;26;1;0;0
Class room;E;3;3;28;0;0;0
Class room;E;3;4;28;0;0;0
Class room;E;3;5;28;1;0;0
Class room;E;3;6;40;1;0;0
Class room;F;2;103;40;0;0;0
Class room;F;4;103;30;1;0;0
Class room;F;4;104;30;1;0;0
Class room;F;4;111;64;1;0;0
Class room;F;4;113;30;1;0;0
Class room;F;5;203;30;1;0;0
Class room;F;5;204;30;1;0;0
Class room;F;5;206;30;1;0;0
Class room;F;5;207;30;1;0;0
Class room;F;5;210;30;1;0;0
Class room;F;5;211;30;1;0;0
Class room;F;5;212;30;1;0;0
Class room;G;1;20;48;1;0;0
Class room;G;1;21;47;1;0;0
Class room;G;1;22;80;1;0;0
Class room;G;1;23;110;1;0;0
Class room;G;6;308;64;1;0;0
Class room;K;0;6;40;0;1;0
Class room;K;0;7;30;1;0;0
Class room;K;2;1;107;1;0;0
Class room;K;2;2;52;1;0;0
Class room;K;2;3;28;1;0;0
Class room;K;2;4;40;1;0;0
Class room;L;0;1;28;1;0;0
Class room;L;2;208;40;1;0;0
Class room;L;2;210;104;1;0;0
Class room;L;2;217;60;1;0;0
Class room;L;4;406;40;1;0;0
Class room;Q;1;A;580;1;0;0
Class room;Q;1;C;300;1;0;0
Class room;Q;1;B;200;1;0;0
Class room;Q;1;D;200;1;0;0
Computer room;B;0;2;0;1;0;0
Computer room;B;0;3;0;1;0;0
Computer room;B;0;4;0;1;0;0
Computer room;B;0;5;0;1;0;0
Computer room;B;0;6;0;1;0;0
Computer room;E;1;2;0;1;0;0
Computer room;E;1;3;0;1;0;0
Computer room;E;1;4;0;1;0;0
Computer room;E;1;5;0;1;0;0
Computer room;E;1;7;0;1;0;0
Computer room;K;1;5;0;1;0;0
Computer room;K;3;110;0;1;0;0
Computer room;K;3;115;0;1;0;0
Computer room;K;3;116;0;1;0;0
Computer room;K;3;125;0;1;0;0
