"Id, Faculty",Program,Career,Year,Traject,Course
0,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Asymmetric Synthesis
1,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Brouwerij
2,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Cellulaire biotechnologie
3,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Chemische modificatie van hernieuwbare grondstoffen
4,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Clean technology
5,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Conformational Analysis of Biologically Active Molecules
6,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Density Functional Theory
7,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Fysiologische Engineering and Cellulaire Engineering
8,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Gene Therapy
9,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),High Throughput Techniques
10,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Levensmiddelenmicrobiologie en hygiene
11,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Moleculaire modelling
12,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Moleculaire plantenbiotechnologie
13,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Moleculaire plantenfysiologie
14,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Moleculaire structuurbepaling
15,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Molecular Phytopathology
16,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Natuurbeheer
17,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Plantaardige productiesystemen
18,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Polymeerchemie
19,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Polymeren: synthese en moleculaire karakterisering
20,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Technologie van de plantaardige producten
21,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Toegepaste immunologie
22,Faculteit Wetenschappen,Bio-ingenieur,MA,1,1 M Bio-ingenieur (keuze),Zuiveltechnologie
23,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,Bioinformatica en systeembiologie
24,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,Biomedische ingenieurstechnieken
25,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,Business Aspects of Biotechnology
26,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,Downstream processing
27,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,Enzymkinetiek en enzymmechanismen
28,Faculteit Wetenschappen,Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,MA,2,2 M Bio-ingenieur Cel- en Genbiotechnologie/Medische Biotechnologie,"Industriele biotechnologie, inclusief Intellectueel Eigendomsrecht en Industriele Seminaries"
